pubDate,title,description
2025-12-15 11:17:00,[2025 유통업계 결산] 생존 위한 리셋의 해…격변 속 ‘구조 재설계’ 총...,"식품업계에서는 CJ, 농심, 오뚜기 등이 b>K/b>-b>팝/b> 아티스트 협업 패키지를 앞세워 북미와 동남아 시장에서 판매량을 끌어올렸고, 특히 농심은 넷플릭스 애니메이션 ‘케이b>팝 데몬 헌터스/b>’ 협업 마케팅을 펼쳐 해외 비중을... "
2025-12-15 10:44:00,"TIOT·키라스, 인사동서 플래시몹...외국인 관광객들 b>K팝/b> 체험",이날 퍼포먼스는 글로벌 팬들에게 친숙한 케이b>팝데몬헌터스/b>(b>K/b>-Pop Demon Hunters)의 ‘소다팝(SODA POP)’ 등을 포함한 곡들로 구성됐다. 플래시몹이 시작되자 인사동을 거닐던 외국인 관광객들은 발걸음을 멈추고 무대를... 
2025-12-15 09:40:00,2025년 결산: 질주하는 넷플릭스와 딜레마에 빠진 K콘텐츠 [김희경의 컬...,넷플릭스의 오리지널 콘텐츠 ‘케이b>팝 데몬 헌터스/b>’(이하 케데헌)가 예상 밖의 글로벌 흥행을 이뤄낸 것이 대표적이다. ‘케데헌’은 한국 문화 자체가 콘텐츠가 될 수 있음을 증명해 보였다. 이에 따라 한국과 한국... 
2025-12-15 09:36:00,[모인의 게임의 법칙]2025년 한 해를 보내면서 ...,"하반기 뒤늦게 터져 나온 '케이b>팝 데몬 헌터스/b>'가 거센 돌풍을 일으키고 있는 가운데, 'b>K/b>-영화'와 'b>K/b>-드라마' 'b>K/b>-b>팝/b>' 등이 글로벌 무대에서 센세이션을 일으키면서 이른바 'b>K/b>-콘텐츠'가 글로벌 대세를 형성하고 있음을 입증해... "
2025-12-15 07:05:00,"테일러 스위프트, 美 '빌보드200' 통산 9주 1위…케데헌 3위·스키즈 10위",글로벌 신드롬이 여전한 넷플릭스 애니메이션 영화 '케이b>팝 데몬 헌터스/b>(b>K/b>-Pop Demon Hunters·케데헌)' OST는 3위를 유지했다. '빌보드 200' 1위에 빛나는 b>K/b>-b>팝/b> 간판 보이그룹 '스트레이 키즈'(Stray Kids·스키즈)의... 
2025-12-15 06:04:00,[ASH 2025] 미국혈액학회 현장에서도 b>K/b>-컬쳐는 통했다,마침 b>K/b>-팝과 한국 문화를 소재로 한 콘텐츠인 '케이b>팝 데몬 헌터스/b>'가 글로벌 시장에서 흥행을 이어가던 시점이었다. 전통과 현대를 결합한 한국 문화 코드에 대한 관심이 학술대회 현장에서도 자연스럽게 이어지는... 
2025-12-15 05:00:00,"케데헌 이재, 음악한 이유? 공부시키려면 '이 털' 뽑아줘야","넷플릭스 애니메이션 ‘케이b>팝 데몬 헌터스/b>’ 열풍이 식을 줄 모른다. 주제곡 ‘골든(Golden)’은 빌보드 핫100 차트에서 비연속 통산 10주간 1위라는 기록을 세운 데 이어, 그래미 어워즈 5개 부문 후보에 올랐다.... "
2025-12-14 19:19:00,5성급리조트에 퍼진 '골든'…b>K팝/b> 침투한 필리핀 크리스마스 점등식 [현...,"이날 점등식에서의 하이라이트는 단연 필리핀 현지 라이브 합창단 '앰배서더스 오브 크라이스트 챔버 싱어즈'의 '케이b>팝 데몬 헌터스/b>' OST '골든' 합창 공연이었다. 한국 관광객뿐만 아니라 중국, 필리핀 현지 투숙객들도... "
2025-12-14 17:20:00,[아침마당] 문화관광산업 활성화를 위한 관련기관의 역할,"최근 케이b>팝 데몬 헌터스/b>의 인기에 힘입어 관련 문화관광 연구가 주목받고 있다.정부 관련기관은 이 산업의... 한국은 b>K/b>-b>팝/b>, b>K/b>-드라마, 한식 등 다양한 문화 콘텐츠를 통해 세계인의 관심을 끌어왔다. 이러한 흐름을 관광으로... "
2025-12-14 11:02:00,“b>K팝/b> 듣다가 한국 음식·화장품에 빠진 지 10년”...말레이시아 일상 스...,넷플릭스 애니메이션 ‘케이b>팝 데몬 헌터스/b>’(케데헌) 수록곡인 ‘골든’이 흘러나오는 한복 체험 부스에도 현지인들의 관심이 쏠렸다. 이날 현지 소비자들의 한복 착용을 도왔던 한 직원은 “100명이 넘게 다녀갔다”... 
